Time,Propellant mass (kg),Chamber pressure (Pa),Throat diameter (m),Nozzle inlet gamma,Nozzle efficiency,Exit static pressure (Pa),Area ratio,Vapour Density (kg/m^3),Vapour Mass (kg),Liquid Density (kg/m^3),Liquid Mass (kg),Solid Fuel Mass (kg),Solid Fuel Density (kg/m^3),Solid Fuel Outer Diameter (m),Solid Fuel Length (m),Thrust (N)
3.1539999999998742,3.889352689968785,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,96.21195852481274,0.6663253249012782,885.5855915538476,1.0400336982295735,2.1829936668379335,1208,0.075,0.67,2275.6264594123095
3.155999999999874,3.8872161227185726,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,96.1632943764361,0.6665458249575547,885.6771207574229,1.0380040994585966,2.1826661983024214,1208,0.075,0.67,2275.6264594123095
3.157999999999874,3.885082783878332,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,96.1632943764361,0.6664006771375952,885.6771207574229,1.0363431089144162,2.182338997826321,1208,0.075,0.67,2275.6264594123095
3.1599999999998736,3.8829489540933855,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,96.11465676518448,0.6666207207891148,885.768626124497,1.034316476726088,2.1820117565781825,1208,0.075,0.67,2275.6264594123095
3.1619999999998734,3.8808183602525697,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,96.11465676518448,0.6664750567886564,885.768626124497,1.0326585192774782,2.181684784186435,1208,0.075,0.67,2275.6264594123095
3.163999999999873,3.8786872741113845,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,96.06604566926751,0.6666946439095918,885.8601076752542,1.0306348593178878,2.181357770883905,1208,0.075,0.67,2275.6264594123095
3.165999999999873,3.8765594314826277,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,96.06604566926751,0.666548464276207,885.8601076752542,1.0289799399673212,2.1810310272390994,1208,0.075,0.67,2275.6264594123095
3.1679999999998727,3.8744310951911607,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,96.01746106692741,0.6667675947385059,885.9515654298492,1.0269592579086957,2.180704242543959,1208,0.075,0.67,2275.6264594123095
3.1699999999998725,3.8723060100218722,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,96.01746106692741,0.6666209000160801,885.9515654298492,1.0253073816929363,2.180377728312856,1208,0.075,0.67,2275.6264594123095
3.1719999999998723,3.8701804298197233,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,96.01746106692741,0.6668395736887853,885.9515654298492,1.0232896832399798,2.180051172890958,1208,0.075,0.67,2275.6264594123095
3.173999999999872,3.8680549249310667,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,95.96890293643202,0.6670582389693049,886.0429994084074,1.0212720622215863,2.1797246237401753,1208,0.075,0.67,2275.6264594123095
3.175999999999872,3.865932592023184,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,95.96890293643202,0.6669108816676419,886.0429994084074,1.01962337171375,2.1793983386417923,1208,0.075,0.67,2275.6264594123095
3.1779999999998716,3.863809775935998,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,95.92037125608122,0.6671290982222617,886.1344096310273,1.0176086644006535,2.1790720133130828,1208,0.075,0.67,2275.6264594123095
3.1799999999998714,3.8616902243026257,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,95.92037125608122,0.6669812257855254,886.1344096310273,1.0159630386086287,2.1787459599084715,1208,0.075,0.67,2275.6264594123095
3.181999999999871,3.8595701751795177,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,95.87186600420446,0.6671989854698668,886.2257961177769,1.0139513246546656,2.1784198650549853,1208,0.075,0.67,2275.6264594123095
3.183999999999871,3.8574534002142986,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,95.87186600420446,0.6670505996517253,886.2257961177769,1.0123087574515743,2.178094043110999,1208,0.075,0.67,2275.6264594123095
